"","ctr.1","ctr.2","ctr.3","ctr.4","als.1","als.2","als.3","als.4"
"A1BG",4,4,4,6,3,4,3,4
"A1BG-AS1",2,0,2,2,2,1,2,1
"A1CF",0,0,0,0,0,0,0,0
"A2M",64,5,54,57,9,3,22,17
"A2M-AS1",1,0,2,0,3,0,1,1
"A2ML1",0,0,0,0,0,0,0,0
"A2MP1",0,0,0,0,0,0,0,0
"A4GALT",1,0,0,1,0,0,1,0
"A4GNT",0,0,0,0,0,0,0,0
"AAAS",32,22,25,23,27,21,29,29
"AACS",8,12,9,10,9,5,8,9
"AACSP1",0,0,0,2,0,0,0,0
"AADAC",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"AADAT",9,5,8,5,9,6,9,10
"AAED1",2,2,2,2,2,2,1,2
"AAGAB",20,10,19,15,18,10,18,19
"AAK1",3,4,3,3,3,5,3,3
"AAMP",41,36,42,39,49,37,45,51
"AANAT",0,0,0,1,0,0,1,0
"AAR2",15,8,16,14,17,11,16,16
"AARD",0,0,0,0,0,0,0,0
"AARS",65,87,56,69,62,96,55,63
"AARS2",6,2,5,5,7,4,6,6
"AARSD1",16,20,18,14,19,14,17,20
"AASDH",5,2,3,4,4,3,5,4
"AASDHPPT",28,17,38,22,36,25,35,38
"AASS",12,2,4,6,5,3,5,4
"AATF",19,19,19,16,20,18,23,21
"AATK",3,3,5,2,5,4,5,3
"AATK-AS1",0,0,0,0,0,0,0,0
"ABAT",100,74,111,53,105,92,99,95
"ABCA1",12,7,6,7,5,9,4,6
"ABCA10",0,0,0,0,0,0,0,0
"ABCA11P",4,2,3,3,4,2,3,4
"ABCA12",0,0,0,0,0,0,0,0
"ABCA13",0,0,0,0,0,0,0,0
"ABCA17P",0,0,0,0,0,0,0,0
"ABCA2",17,14,18,16,16,22,16,12
"ABCA3",18,14,29,19,26,22,22,22
"ABCA4",0,0,0,0,0,0,0,0
"ABCA5",2,1,1,1,2,2,1,1
