weight,time,chick,diet
42,0,1,2
51,2,1,2
59,4,1,2
64,6,1,2
76,8,1,2
93,10,1,2
106,12,1,2
125,14,1,2
149,16,1,2
171,18,1,2
199,20,1,2
205,21,1,2
40,0,2,2
49,2,2,2
58,4,2,2
72,6,2,2
84,8,2,2
103,10,2,2
122,12,2,2
138,14,2,2
162,16,2,2
187,18,2,2
209,20,2,2
215,21,2,2
43,0,3,2
39,2,3,2
55,4,3,2
67,6,3,2
84,8,3,2
99,10,3,2
115,12,3,2
138,14,3,2
163,16,3,2
187,18,3,2
198,20,3,2
202,21,3,2
42,0,4,2
49,2,4,2
56,4,4,2
67,6,4,2
74,8,4,2
87,10,4,2
102,12,4,2
108,14,4,2
136,16,4,2
154,18,4,2
160,20,4,2
157,21,4,2
41,0,5,2
42,2,5,2
48,4,5,2
60,6,5,2
79,8,5,2
106,10,5,2
141,12,5,2
164,14,5,2
197,16,5,2
199,18,5,2
220,20,5,2
223,21,5,2
41,0,6,2
49,2,6,2
59,4,6,2
74,6,6,2
97,8,6,2
124,10,6,2
141,12,6,2
148,14,6,2
155,16,6,2
160,18,6,2
160,20,6,2
157,21,6,2
41,0,7,2
49,2,7,2
57,4,7,2
71,6,7,2
89,8,7,2
112,10,7,2
146,12,7,2
174,14,7,2
218,16,7,2
250,18,7,2
288,20,7,2
305,21,7,2
42,0,8,2
50,2,8,2
61,4,8,2
71,6,8,2
84,8,8,2
93,10,8,2
110,12,8,2
116,14,8,2
126,16,8,2
134,18,8,2
125,20,8,2
42,0,9,2
51,2,9,2
59,4,9,2
68,6,9,2
85,8,9,2
96,10,9,2
90,12,9,2
92,14,9,2
93,16,9,2
100,18,9,2
100,20,9,2
98,21,9,2
41,0,10,2
44,2,10,2
52,4,10,2
63,6,10,2
74,8,10,2
81,10,10,2
89,12,10,2
96,14,10,2
101,16,10,2
112,18,10,2
120,20,10,2
124,21,10,2
43,0,11,2
51,2,11,2
63,4,11,2
84,6,11,2
112,8,11,2
139,10,11,2
168,12,11,2
177,14,11,2
182,16,11,2
184,18,11,2
181,20,11,2
175,21,11,2
41,0,12,2
49,2,12,2
56,4,12,2
62,6,12,2
72,8,12,2
88,10,12,2
119,12,12,2
135,14,12,2
162,16,12,2
185,18,12,2
195,20,12,2
205,21,12,2
41,0,13,2
48,2,13,2
53,4,13,2
60,6,13,2
65,8,13,2
67,10,13,2
71,12,13,2
70,14,13,2
71,16,13,2
81,18,13,2
91,20,13,2
96,21,13,2
41,0,14,2
49,2,14,2
62,4,14,2
79,6,14,2
101,8,14,2
128,10,14,2
164,12,14,2
192,14,14,2
227,16,14,2
248,18,14,2
259,20,14,2
266,21,14,2
41,0,15,2
49,2,15,2
56,4,15,2
64,6,15,2
68,8,15,2
68,10,15,2
67,12,15,2
68,14,15,2
41,0,16,2
45,2,16,2
49,4,16,2
51,6,16,2
57,8,16,2
51,10,16,2
54,12,16,2
42,0,17,2
51,2,17,2
61,4,17,2
72,6,17,2
83,8,17,2
89,10,17,2
98,12,17,2
103,14,17,2
113,16,17,2
123,18,17,2
133,20,17,2
142,21,17,2
39,0,18,2
35,2,18,2
43,0,19,2
48,2,19,2
55,4,19,2
62,6,19,2
65,8,19,2
71,10,19,2
82,12,19,2
88,14,19,2
106,16,19,2
120,18,19,2
144,20,19,2
157,21,19,2
41,0,20,2
47,2,20,2
54,4,20,2
58,6,20,2
65,8,20,2
73,10,20,2
77,12,20,2
89,14,20,2
98,16,20,2
107,18,20,2
115,20,20,2
117,21,20,2
40,0,21,1
50,2,21,1
62,4,21,1
86,6,21,1
125,8,21,1
163,10,21,1
217,12,21,1
240,14,21,1
275,16,21,1
307,18,21,1
318,20,21,1
331,21,21,1
41,0,22,1
55,2,22,1
64,4,22,1
77,6,22,1
90,8,22,1
95,10,22,1
108,12,22,1
111,14,22,1
131,16,22,1
148,18,22,1
164,20,22,1
167,21,22,1
43,0,23,1
52,2,23,1
61,4,23,1
73,6,23,1
90,8,23,1
103,10,23,1
127,12,23,1
135,14,23,1
145,16,23,1
163,18,23,1
170,20,23,1
175,21,23,1
42,0,24,1
52,2,24,1
58,4,24,1
74,6,24,1
66,8,24,1
68,10,24,1
70,12,24,1
71,14,24,1
72,16,24,1
72,18,24,1
76,20,24,1
74,21,24,1
40,0,25,1
49,2,25,1
62,4,25,1
78,6,25,1
102,8,25,1
124,10,25,1
146,12,25,1
164,14,25,1
197,16,25,1
231,18,25,1
259,20,25,1
265,21,25,1
42,0,26,1
48,2,26,1
57,4,26,1
74,6,26,1
93,8,26,1
114,10,26,1
136,12,26,1
147,14,26,1
169,16,26,1
205,18,26,1
236,20,26,1
251,21,26,1
39,0,27,1
46,2,27,1
58,4,27,1
73,6,27,1
87,8,27,1
100,10,27,1
115,12,27,1
123,14,27,1
144,16,27,1
163,18,27,1
185,20,27,1
192,21,27,1
39,0,28,1
46,2,28,1
58,4,28,1
73,6,28,1
92,8,28,1
114,10,28,1
145,12,28,1
156,14,28,1
184,16,28,1
207,18,28,1
212,20,28,1
233,21,28,1
39,0,29,1
48,2,29,1
59,4,29,1
74,6,29,1
87,8,29,1
106,10,29,1
134,12,29,1
150,14,29,1
187,16,29,1
230,18,29,1
279,20,29,1
309,21,29,1
42,0,30,1
48,2,30,1
59,4,30,1
72,6,30,1
85,8,30,1
98,10,30,1
115,12,30,1
122,14,30,1
143,16,30,1
151,18,30,1
157,20,30,1
150,21,30,1
42,0,31,3
53,2,31,3
62,4,31,3
73,6,31,3
85,8,31,3
102,10,31,3
123,12,31,3
138,14,31,3
170,16,31,3
204,18,31,3
235,20,31,3
256,21,31,3
41,0,32,3
49,2,32,3
65,4,32,3
82,6,32,3
107,8,32,3
129,10,32,3
159,12,32,3
179,14,32,3
221,16,32,3
263,18,32,3
291,20,32,3
305,21,32,3
39,0,33,3
50,2,33,3
63,4,33,3
77,6,33,3
96,8,33,3
111,10,33,3
137,12,33,3
144,14,33,3
151,16,33,3
151,18,33,3
156,20,33,3
156,21,33,3
41,0,34,3
49,2,34,3
63,4,34,3
85,6,34,3
107,8,34,3
134,10,34,3
164,12,34,3
186,14,34,3
235,16,34,3
294,18,34,3
327,20,34,3
341,21,34,3
41,0,35,3
53,2,35,3
64,4,35,3
87,6,35,3
123,8,35,3
158,10,35,3
201,12,35,3
238,14,35,3
287,16,35,3
332,18,35,3
361,20,35,3
373,21,35,3
39,0,36,3
48,2,36,3
61,4,36,3
76,6,36,3
98,8,36,3
116,10,36,3
145,12,36,3
166,14,36,3
198,16,36,3
227,18,36,3
227,20,36,3
227,21,36,3
41,0,37,3
48,2,37,3
56,4,37,3
68,6,37,3
80,8,37,3
83,10,37,3
103,12,37,3
112,14,37,3
135,16,37,3
157,18,37,3
169,20,37,3
178,21,37,3
41,0,38,3
49,2,38,3
61,4,38,3
74,6,38,3
98,8,38,3
109,10,38,3
128,12,38,3
154,14,38,3
192,16,38,3
232,18,38,3
280,20,38,3
290,21,38,3
42,0,39,3
50,2,39,3
61,4,39,3
78,6,39,3
89,8,39,3
109,10,39,3
130,12,39,3
146,14,39,3
170,16,39,3
214,18,39,3
250,20,39,3
272,21,39,3
41,0,40,3
55,2,40,3
66,4,40,3
79,6,40,3
101,8,40,3
120,10,40,3
154,12,40,3
182,14,40,3
215,16,40,3
262,18,40,3
295,20,40,3
321,21,40,3
42,0,41,4
51,2,41,4
66,4,41,4
85,6,41,4
103,8,41,4
124,10,41,4
155,12,41,4
153,14,41,4
175,16,41,4
184,18,41,4
199,20,41,4
204,21,41,4
42,0,42,4
49,2,42,4
63,4,42,4
84,6,42,4
103,8,42,4
126,10,42,4
160,12,42,4
174,14,42,4
204,16,42,4
234,18,42,4
269,20,42,4
281,21,42,4
42,0,43,4
55,2,43,4
69,4,43,4
96,6,43,4
131,8,43,4
157,10,43,4
184,12,43,4
188,14,43,4
197,16,43,4
198,18,43,4
199,20,43,4
200,21,43,4
42,0,44,4
51,2,44,4
65,4,44,4
86,6,44,4
103,8,44,4
118,10,44,4
127,12,44,4
138,14,44,4
145,16,44,4
146,18,44,4
41,0,45,4
50,2,45,4
61,4,45,4
78,6,45,4
98,8,45,4
117,10,45,4
135,12,45,4
141,14,45,4
147,16,45,4
174,18,45,4
197,20,45,4
196,21,45,4
40,0,46,4
52,2,46,4
62,4,46,4
82,6,46,4
101,8,46,4
120,10,46,4
144,12,46,4
156,14,46,4
173,16,46,4
210,18,46,4
231,20,46,4
238,21,46,4
41,0,47,4
53,2,47,4
66,4,47,4
79,6,47,4
100,8,47,4
123,10,47,4
148,12,47,4
157,14,47,4
168,16,47,4
185,18,47,4
210,20,47,4
205,21,47,4
39,0,48,4
50,2,48,4
62,4,48,4
80,6,48,4
104,8,48,4
125,10,48,4
154,12,48,4
170,14,48,4
222,16,48,4
261,18,48,4
303,20,48,4
322,21,48,4
40,0,49,4
53,2,49,4
64,4,49,4
85,6,49,4
108,8,49,4
128,10,49,4
152,12,49,4
166,14,49,4
184,16,49,4
203,18,49,4
233,20,49,4
237,21,49,4
41,0,50,4
54,2,50,4
67,4,50,4
84,6,50,4
105,8,50,4
122,10,50,4
155,12,50,4
175,14,50,4
205,16,50,4
234,18,50,4
264,20,50,4
264,21,50,4
