SEQN,Respondent sequence number
PEASCST1,Blood Pressure Status
PEASCTM1,Blood Pressure Time in Seconds
PEASCCT1,Blood Pressure Comment
BPXCHR,60 sec HR (30 sec HR * 2)
BPQ150A,Had food in the past 30 minutes?
BPQ150B,Had alcohol in the past 30 minutes?
BPQ150C,Had coffee in the past 30 minutes?
BPQ150D,Had cigarettes in the past 30 minutes?
BPAARM,Arm selected:
BPACSZ,Coded cuff size
BPXPLS,60 sec. pulse (30 sec. pulse * 2):
BPXPULS,Pulse regular or irregular?
BPXPTY,Pulse type:
BPXML1,MIL: maximum inflation levels (mm Hg)
BPXSY1,Systolic: Blood pres (1st rdg) mm Hg
BPXDI1,Diastolic: Blood pres (1st rdg) mm Hg
BPAEN1,Enhancement used first reading
BPXSY2,Systolic: Blood pres (2nd rdg) mm Hg
BPXDI2,Diastolic: Blood pres (2nd rdg) mm Hg
BPAEN2,Enhancement used second reading
BPXSY3,Systolic: Blood pres (3rd rdg) mm Hg
BPXDI3,Diastolic: Blood pres (3rd rdg) mm Hg
BPAEN3,Enhancement used third reading
BPXSY4,Systolic: Blood pres (4th rdg) mm Hg
BPXDI4,Diastolic:  Blood pres (4th rdg) mm Hg
BPAEN4,Enhancement used fourth reading
